ID_Venta;Fecha;Hora;Sucursal;Nombre_Producto;Categoría_Producto;Tamaño;Cantidad;Precio_Unitario;Total_Venta;Método_de_Compra;Método_de_Pago;Cliente_Miembro;Descuento_Miembro;Promoción_Aplicada;Empleado_Atendió;Turno;Demora_Preparación_Min;Satisfacción_Cliente;Stock_Antes;Stock_Después
VTA00014;3/1/2025;11:18;Avenida Colón 608;Mocha;Bebida Espresso Caliente;Tall;4;1773.71;7094.84;Delivery;App;Sí;15;Ninguna;Florencia;Mañana;5.4;2;13;9
VTA00015;31/1/2025;10:34;San Lorenzo 25, Nueva Córdoba;Bagel Sandwich;Sándwiches;;4;1795.23;7180.92;En tienda;Tarjeta;No;0;Combo;Sofía;Noche;3.8;3;41;37
VTA00016;14/4/2025;16:06;Avenida Colón 608;Muffin de Arándanos;Bakery;;3;1155.1;3465.3;Delivery;Tarjeta;Sí;10;Ninguna;Luis;Tarde;14.5;3;17;14
VTA00017;15/3/2025;21:00;Córdoba Shopping;Latte Helado;Bebida Espresso Helada;Grande;2;1869.29;3738.58;En tienda;Efectivo;No;0;Happy Hour;Julián;Noche;3.8;1;17;15
VTA00018;21/3/2025;18:21;Córdoba Shopping;Té Verde;Té Caliente;;1;1252.47;1252.47;Take Away;App;No;0;Ninguna;Camila;Tarde;9.3;2;11;10
VTA00019;17/3/2025;10:00;Córdoba Shopping;Latte Helado;Bebida Espresso Helada;Pequeño;3;1358.09;4074.27;Take Away;Efectivo;Sí;0;Ninguna;Sofía;Noche;8.4;5;12;9
VTA00020;16/4/2025;08:24;San Lorenzo 25, Nueva Córdoba;Skinny Vainilla Latte Helado;Bebida Espresso Helada;Grande;2;1801.12;3602.24;Delivery;App;No;0;Happy Hour;Marcos;Mañana;10.5;4;29;27
VTA00021;9/2/2025;10:24;San Lorenzo 25, Nueva Córdoba;Té Verde;Té Caliente;;5;1175.14;5875.7;En tienda;Efectivo;No;0;Combo;Marcos;Noche;10.7;3;10;5
VTA00022;11/3/2025;20:18;San Lorenzo 25, Nueva Córdoba;Moneda de Chocolate;Snacks;;1;1187.82;1187.82;Delivery;App;No;0;Ninguna;Florencia;Tarde;3.0;3;28;27
VTA00023;17/2/2025;19:06;Avenida Colón 608;Té Verde;Té Caliente;;5;1390.33;6951.65;Delivery;Efectivo;No;0;2x1;Julián;Tarde;10.6;3;34;29
VTA00024;11/2/2025;12:45;Calle San Lorenzo 47;Moneda de Chocolate;Snacks;;3;992.03;2976.09;En tienda;Tarjeta;No;0;Happy Hour;Julián;Noche;13.4;4;25;22
VTA00025;6/4/2025;11:03;Córdoba Shopping;Té Chai Latte;Té Caliente;;1;1214.11;1214.11;Delivery;Tarjeta;No;0;2x1;Luis;Mañana;7.5;5;31;30
VTA00026;2/1/2025;10:06;Córdoba Shopping;Caramel Frappuccino;Frappuccino;Tall;2;1610.81;3221.62;Take Away;Efectivo;Sí;15;Ninguna;Julián;Tarde;10.3;2;34;32
VTA00027;10/3/2025;09:07;San Lorenzo 25, Nueva Córdoba;House Blend;Café en Granos;;5;2430.53;12152.65;Delivery;Efectivo;Sí;0;Combo;Sofía;Mañana;9.2;3;28;23
VTA00028;24/3/2025;19:24;Calle San Lorenzo 47;House Blend;Café en Granos;;4;2270.69;9082.76;Take Away;Efectivo;No;0;2x1;Camila;Mañana;3.9;4;40;36
VTA00029;12/2/2025;08:10;Calle San Lorenzo 47;Té Chai Latte;Té Caliente;;4;1389.75;5559.0;Take Away;Efectivo;Sí;10;Ninguna;Florencia;Tarde;11.2;2;23;19
VTA00030;17/3/2025;15:21;Córdoba Shopping;Té Verde;Té Caliente;;5;1157.61;5788.05;Delivery;Tarjeta;No;0;Ninguna;Luis;Mañana;11.7;5;44;39
VTA00031;6/2/2025;20:52;Córdoba Shopping;Fosforito de Jamón y Queso;Sándwiches;;3;1980.86;5942.58;Take Away;App;No;0;Ninguna;Julián;Tarde;9.1;3;12;9
VTA00032;4/1/2025;19:29;Córdoba Shopping;Té Helado de Hibiscus;Té Helado;;2;1252.01;2504.02;En tienda;Efectivo;No;0;Ninguna;Marcos;Tarde;14.5;5;49;47
VTA00033;19/2/2025;08:14;San Lorenzo 25, Nueva Córdoba;Té Helado de Hibiscus;Té Helado;;2;1387.71;2775.42;Delivery;Efectivo;Sí;0;Happy Hour;Marcos;Mañana;6.2;3;25;23
VTA00034;19/2/2025;19:25;San Lorenzo 25, Nueva Córdoba;Té Helado de Hibiscus;Té Helado;;5;1622.55;8112.75;Delivery;Tarjeta;No;0;Ninguna;Sofía;Tarde;7.7;4;40;35
VTA00035;25/2/2025;10:38;Avenida Colón 608;Americano Helado;Bebida Espresso Helada;Grande;5;1614.9;8074.5;Take Away;Efectivo;Sí;0;Happy Hour;Julián;Tarde;10.6;3;29;24
VTA00036;28/1/2025;20:22;Avenida Colón 608;Moneda de Chocolate;Snacks;;1;893.44;893.44;Take Away;App;No;0;Combo;Luis;Tarde;14.0;2;25;24
VTA00037;13/2/2025;09:55;Avenida Colón 608;Caramel Frappuccino;Frappuccino;Grande;4;1549.85;6199.4;En tienda;Tarjeta;No;0;2x1;Florencia;Tarde;9.5;3;36;32
VTA00038;27/1/2025;09:41;Calle San Lorenzo 47;House Blend;Café en Granos;;1;2147.3;2147.3;Delivery;Efectivo;No;0;2x1;Julián;Tarde;8.2;3;27;26
VTA00039;24/2/2025;13:02;Córdoba Shopping;Té Verde en Hebras;Té;;2;1955.73;3911.46;En tienda;Efectivo;No;0;Happy Hour;Sofía;Noche;4.8;2;46;44
VTA00040;16/1/2025;12:22;San Lorenzo 25, Nueva Córdoba;Croissant Relleno con Crema de Avellanas;Bakery;;2;1481.18;2962.36;Delivery;App;Sí;15;2x1;Camila;Mañana;13.6;5;18;16
VTA00041;10/3/2025;17:04;Córdoba Shopping;Taza Edición Especial;Merchandising;;2;3247.8;6495.6;En tienda;Efectivo;No;0;Combo;Marcos;Tarde;3.2;3;16;14
VTA00042;2/3/2025;16:08;Avenida Colón 608;Té Verde;Té Caliente;;2;1271.73;2543.46;Take Away;Efectivo;No;0;Happy Hour;Camila;Noche;8.3;3;22;20
VTA00043;29/3/2025;17:56;Calle San Lorenzo 47;Termo Reutilizable;Merchandising;;1;2954.53;2954.53;Take Away;Tarjeta;Sí;15;Happy Hour;Julián;Noche;11.6;1;13;12
VTA00044;26/2/2025;20:59;Córdoba Shopping;Caramel Frappuccino;Frappuccino;Tall;1;1956.29;1956.29;Delivery;Tarjeta;No;0;Ninguna;Luis;Mañana;13.2;2;23;22
VTA00045;4/1/2025;20:44;Calle San Lorenzo 47;Té Helado de Hibiscus;Té Helado;;3;1644.6;4933.8;Delivery;App;Sí;0;Ninguna;Julián;Mañana;7.5;1;12;9
VTA00046;14/1/2025;17:35;Calle San Lorenzo 47;Caramel Frappuccino;Frappuccino;Grande;1;1968.29;1968.29;Take Away;Efectivo;Sí;15;Combo;Florencia;Noche;11.5;5;36;35
VTA00047;5/2/2025;07:50;Córdoba Shopping;Termo Reutilizable;Merchandising;;2;3498.88;6997.76;En tienda;App;Sí;15;Happy Hour;Julián;Tarde;5.0;1;31;29
VTA00048;14/2/2025;12:19;Córdoba Shopping;Caramel Frappuccino;Frappuccino;Venti;2;1726.28;3452.56;Take Away;Efectivo;No;0;Happy Hour;Julián;Tarde;5.2;1;50;48
VTA00049;12/4/2025;14:01;Córdoba Shopping;Té Verde en Hebras;Té;;3;1734.67;5204.01;Delivery;Tarjeta;No;0;2x1;Luis;Mañana;6.0;4;42;39
VTA00050;18/1/2025;09:29;San Lorenzo 25, Nueva Córdoba;Latte Helado;Bebida Espresso Helada;Tall;5;1734.54;8672.7;Delivery;App;No;0;Happy Hour;Luis;Tarde;2.2;4;38;33
VTA00051;30/1/2025;20:27;San Lorenzo 25, Nueva Córdoba;Caramel Frappuccino;Frappuccino;Pequeño;2;1649.83;3299.66;En tienda;Efectivo;No;0;Combo;Sofía;Tarde;5.2;3;21;19
VTA00052;18/2/2025;14:10;San Lorenzo 25, Nueva Córdoba;Latte Macchiato;Bebida Espresso Caliente;Venti;2;1281.6;2563.2;Delivery;Efectivo;No;0;Happy Hour;Luis;Noche;4.1;4;38;36
VTA00053;3/1/2025;12:37;Avenida Colón 608;Mix de Frutos Secos;Snacks;;1;1122.93;1122.93;En tienda;Efectivo;No;0;Happy Hour;Sofía;Tarde;3.9;2;30;29
VTA00054;8/4/2025;09:50;Calle San Lorenzo 47;Té Verde;Té Caliente;;1;1473.91;1473.91;En tienda;Efectivo;No;0;Combo;Julián;Tarde;4.6;5;12;11
VTA00055;25/3/2025;12:06;Calle San Lorenzo 47;Té Helado de Hibiscus;Té Helado;;2;1452.78;2905.56;Take Away;Tarjeta;Sí;15;Ninguna;Sofía;Tarde;3.3;2;38;36
VTA00056;22/3/2025;08:31;San Lorenzo 25, Nueva Córdoba;House Blend;Café en Granos;;2;2359.63;4719.26;Delivery;Efectivo;No;0;Ninguna;Florencia;Noche;7.0;4;32;30
VTA00057;1/3/2025;19:42;San Lorenzo 25, Nueva Córdoba;Té Verde en Hebras;Té;;5;1848.28;9241.4;En tienda;Tarjeta;Sí;10;Ninguna;Julián;Tarde;6.6;4;28;23
VTA00058;1/4/2025;20:06;San Lorenzo 25, Nueva Córdoba;Taza Edición Especial;Merchandising;;3;3072.13;9216.39;Take Away;Efectivo;Sí;0;Happy Hour;Luis;Tarde;12.3;5;15;12
VTA00059;15/4/2025;08:08;Córdoba Shopping;Fosforito de Jamón y Queso;Sándwiches;;5;1558.37;7791.85;Take Away;Tarjeta;Sí;0;2x1;Sofía;Noche;7.1;3;45;40
VTA00060;10/4/2025;13:04;Córdoba Shopping;Latte Macchiato;Bebida Espresso Caliente;Grande;5;1246.11;6230.55;En tienda;App;Sí;15;2x1;Julián;Noche;8.6;1;12;7
VTA00061;5/4/2025;16:43;Avenida Colón 608;Té Helado de Hibiscus;Té Helado;;1;1430.92;1430.92;Delivery;App;Sí;15;Happy Hour;Camila;Noche;9.9;4;38;37
VTA00062;28/1/2025;10:50;Córdoba Shopping;Croissant Relleno con Crema de Avellanas;Bakery;;1;1238.02;1238.02;Take Away;App;No;0;Ninguna;Luis;Noche;2.3;5;36;35
VTA00063;14/3/2025;20:04;Córdoba Shopping;House Blend;Café en Granos;;3;2933.07;8799.21;Delivery;App;Sí;10;Combo;Luis;Tarde;9.0;1;18;15
VTA00064;14/2/2025;19:26;Calle San Lorenzo 47;Café del Día;Bebida Espresso Caliente;Grande;1;1745.08;1745.08;Take Away;Efectivo;Sí;10;Combo;Luis;Tarde;14.1;3;25;24
VTA00065;12/3/2025;09:08;Calle San Lorenzo 47;Té Verde en Hebras;Té;;2;1757.28;3514.56;En tienda;App;Sí;0;Ninguna;Sofía;Mañana;3.2;1;49;47
VTA00066;4/2/2025;17:56;Calle San Lorenzo 47;Wrap de Pollo y Vegetales;Sándwiches;;1;1949.54;1949.54;En tienda;App;Sí;10;2x1;Luis;Noche;9.7;1;42;41
VTA00067;18/1/2025;14:33;Calle San Lorenzo 47;Cookie con Chips de Chocolate;Bakery;;5;1114.07;5570.35;En tienda;App;Sí;0;Combo;Luis;Mañana;2.1;1;41;36
VTA00068;2/3/2025;16:44;Córdoba Shopping;Muffin de Arándanos;Bakery;;1;1350.79;1350.79;Delivery;App;Sí;10;2x1;Sofía;Tarde;5.8;1;34;33
VTA00069;7/4/2025;14:01;Avenida Colón 608;Té Helado de Hibiscus;Té Helado;;1;1353.88;1353.88;Delivery;Tarjeta;Sí;0;2x1;Florencia;Tarde;12.8;5;38;37
VTA00070;21/2/2025;17:24;Córdoba Shopping;Cookie con Chips de Chocolate;Bakery;;1;1205.79;1205.79;En tienda;Tarjeta;No;0;Ninguna;Florencia;Mañana;6.5;5;19;18
VTA00071;6/1/2025;13:16;San Lorenzo 25, Nueva Córdoba;Cappuccino;Bebida Espresso Caliente;Grande;2;1251.61;2503.22;En tienda;App;No;0;2x1;Florencia;Noche;10.5;5;10;8
VTA00072;11/4/2025;07:44;Avenida Colón 608;Té Helado de Hibiscus;Té Helado;;1;1463.52;1463.52;En tienda;Tarjeta;No;0;Combo;Luis;Mañana;8.8;4;12;11
VTA00073;19/1/2025;08:37;Calle San Lorenzo 47;Té Verde;Té Caliente;;4;1252.27;5009.08;Take Away;Efectivo;Sí;10;2x1;Luis;Noche;13.6;2;28;24
VTA00074;9/1/2025;10:18;San Lorenzo 25, Nueva Córdoba;Vainilla Latte;Bebida Espresso Caliente;Tall;4;1675.78;6703.12;En tienda;App;Sí;10;2x1;Camila;Noche;12.9;5;25;21
VTA00075;13/1/2025;20:37;San Lorenzo 25, Nueva Córdoba;Espresso Roast;Café en Granos;;4;2504.64;10018.56;Delivery;Tarjeta;Sí;0;Happy Hour;Julián;Mañana;2.8;2;37;33
VTA00076;25/1/2025;09:27;Calle San Lorenzo 47;Té Chai Latte;Té Caliente;;5;1051.71;5258.55;Delivery;Tarjeta;Sí;0;Combo;Sofía;Tarde;4.4;1;49;44
VTA00077;22/2/2025;15:05;Calle San Lorenzo 47;Moneda de Chocolate;Snacks;;2;1273.0;2546.0;Take Away;Tarjeta;No;0;Ninguna;Florencia;Tarde;14.6;5;30;28
VTA00078;26/2/2025;16:35;Avenida Colón 608;Caramel Frappuccino;Frappuccino;Pequeño;5;1902.77;9513.85;Take Away;App;No;0;Ninguna;Marcos;Noche;13.8;1;33;28
VTA00079;18/4/2025;16:28;Calle San Lorenzo 47;Caramel Frappuccino;Frappuccino;Pequeño;4;1618.96;6475.84;Take Away;Efectivo;Sí;15;2x1;Marcos;Noche;5.3;5;19;15
VTA00080;3/2/2025;19:42;Avenida Colón 608;Té Verde en Hebras;Té;;4;2180.29;8721.16;Take Away;Tarjeta;No;0;2x1;Camila;Tarde;9.5;2;22;18
VTA00081;4/4/2025;07:03;Córdoba Shopping;Café del Día;Bebida Espresso Caliente;Grande;4;1334.63;5338.52;Delivery;Tarjeta;Sí;0;Happy Hour;Marcos;Noche;10.8;3;38;34
VTA00082;17/2/2025;13:41;San Lorenzo 25, Nueva Córdoba;Té Chai Latte;Té Caliente;;1;1469.5;1469.5;En tienda;Efectivo;Sí;10;Ninguna;Florencia;Mañana;10.3;5;18;17
VTA00083;4/4/2025;12:10;San Lorenzo 25, Nueva Córdoba;Té Helado de Hibiscus;Té Helado;;5;1408.36;7041.8;En tienda;Efectivo;Sí;0;Ninguna;Florencia;Mañana;6.8;2;21;16
VTA00084;1/1/2025;16:43;San Lorenzo 25, Nueva Córdoba;Té Chai Latte;Té Caliente;;3;1407.91;4223.73;En tienda;Efectivo;Sí;10;2x1;Florencia;Noche;13.8;1;21;18
VTA00085;11/1/2025;18:47;Córdoba Shopping;Wrap de Pollo y Vegetales;Sándwiches;;4;1656.73;6626.92;Take Away;Efectivo;Sí;15;Happy Hour;Luis;Mañana;2.1;4;42;38
VTA00086;15/4/2025;20:56;Avenida Colón 608;Taza Edición Especial;Merchandising;;4;2674.42;10697.68;Delivery;Efectivo;No;0;Combo;Julián;Tarde;3.0;3;48;44
VTA00087;23/3/2025;10:24;Avenida Colón 608;Té Verde;Té Caliente;;2;1389.91;2779.82;Delivery;App;Sí;0;Combo;Camila;Tarde;14.7;2;34;32
VTA00088;28/2/2025;09:16;Calle San Lorenzo 47;Espresso Roast;Café en Granos;;3;2988.34;8965.02;Delivery;App;Sí;10;Ninguna;Camila;Mañana;2.4;1;20;17
VTA00089;14/2/2025;19:03;Calle San Lorenzo 47;Espresso Roast;Café en Granos;;2;2367.92;4735.84;En tienda;Efectivo;No;0;Happy Hour;Sofía;Mañana;3.7;5;15;13
VTA00090;8/2/2025;09:12;Córdoba Shopping;Caramel Frappuccino;Frappuccino;Pequeño;5;1723.88;8619.4;Take Away;Efectivo;No;0;Happy Hour;Marcos;Noche;7.1;4;25;20
VTA00091;30/3/2025;09:23;Córdoba Shopping;Moneda de Chocolate;Snacks;;1;994.81;994.81;Take Away;Tarjeta;Sí;0;Happy Hour;Camila;Noche;9.7;3;12;11
VTA00092;10/2/2025;07:53;Córdoba Shopping;Té Helado de Hibiscus;Té Helado;;5;1334.26;6671.3;Delivery;Tarjeta;Sí;0;Ninguna;Sofía;Noche;4.6;1;21;16
VTA00093;14/3/2025;08:34;Calle San Lorenzo 47;Caramel Frappuccino;Frappuccino;Grande;3;1995.84;5987.52;En tienda;Tarjeta;Sí;15;Combo;Julián;Mañana;7.0;2;36;33
VTA00094;17/2/2025;10:51;San Lorenzo 25, Nueva Córdoba;Latte Macchiato;Bebida Espresso Caliente;Pequeño;3;1669.93;5009.79;Delivery;Efectivo;No;0;Ninguna;Julián;Tarde;6.0;4;35;32
VTA00095;21/2/2025;20:40;San Lorenzo 25, Nueva Córdoba;Muffin de Arándanos;Bakery;;1;1224.82;1224.82;Delivery;Tarjeta;No;0;Combo;Sofía;Noche;2.6;5;28;27
VTA00096;11/2/2025;17:34;Córdoba Shopping;House Blend;Café en Granos;;4;2842.51;11370.04;Delivery;Tarjeta;Sí;0;Combo;Marcos;Noche;6.9;3;10;6
VTA00097;17/2/2025;08:13;Córdoba Shopping;Té Verde en Hebras;Té;;5;1835.35;9176.75;Delivery;Tarjeta;Sí;0;2x1;Julián;Tarde;13.7;1;37;32
VTA00098;7/4/2025;07:19;Calle San Lorenzo 47;Caramel Frappuccino;Frappuccino;Grande;4;1848.25;7393.0;Take Away;Tarjeta;No;0;Happy Hour;Sofía;Noche;9.0;5;11;7
VTA00099;3/2/2025;17:01;San Lorenzo 25, Nueva Córdoba;Latte Helado;Bebida Espresso Helada;Pequeño;5;1428.45;7142.25;En tienda;Efectivo;Sí;0;Happy Hour;Julián;Noche;14.7;1;30;25
VTA00100;16/1/2025;20:41;San Lorenzo 25, Nueva Córdoba;Termo Reutilizable;Merchandising;;3;2727.96;8183.88;Take Away;Tarjeta;Sí;0;Combo;Camila;Tarde;11.3;5;49;46
VTA00101;1/3/2025;20:38;Calle San Lorenzo 47;Muffin de Arándanos;Bakery;;2;1267.67;2535.34;Delivery;App;Sí;15;Ninguna;Camila;Mañana;2.3;4;21;19
VTA00102;21/1/2025;11:48;San Lorenzo 25, Nueva Córdoba;Muffin de Arándanos;Bakery;;1;1264.53;1264.53;Take Away;App;No;0;Happy Hour;Marcos;Tarde;11.5;3;50;49
VTA00103;4/4/2025;19:13;San Lorenzo 25, Nueva Córdoba;Té Helado de Hibiscus;Té Helado;;5;1549.17;7745.85;Delivery;Tarjeta;No;0;Ninguna;Florencia;Tarde;4.1;5;28;23
VTA00104;25/2/2025;12:07;Avenida Colón 608;Latte Helado;Bebida Espresso Helada;Tall;3;1745.07;5235.21;En tienda;App;No;0;Combo;Florencia;Mañana;11.7;3;35;32
VTA00105;2/3/2025;16:55;Avenida Colón 608;Moneda de Chocolate;Snacks;;1;746.65;746.65;En tienda;Efectivo;Sí;10;Happy Hour;Camila;Mañana;6.8;4;28;27
VTA00106;19/1/2025;10:43;Avenida Colón 608;Budín de Limón;Bakery;;5;1313.82;6569.1;Delivery;Efectivo;Sí;15;Ninguna;Luis;Noche;9.8;5;42;37
VTA00107;23/3/2025;16:44;San Lorenzo 25, Nueva Córdoba;Cold Brew;Bebida Espresso Helada;Venti;3;1653.51;4960.53;Delivery;Tarjeta;No;0;Ninguna;Sofía;Tarde;6.2;1;26;23
VTA00108;31/1/2025;16:31;Calle San Lorenzo 47;Bagel Sandwich;Sándwiches;;1;1555.47;1555.47;En tienda;App;No;0;Happy Hour;Sofía;Mañana;2.6;4;27;26
VTA00109;14/3/2025;18:25;Córdoba Shopping;House Blend;Café en Granos;;3;2848.38;8545.14;Take Away;Tarjeta;No;0;Happy Hour;Sofía;Mañana;2.0;4;40;37
VTA00110;8/3/2025;11:52;San Lorenzo 25, Nueva Córdoba;Fosforito de Jamón y Queso;Sándwiches;;3;1643.71;4931.13;Delivery;Efectivo;No;0;Combo;Camila;Tarde;10.3;1;22;19
VTA00111;20/3/2025;19:08;Córdoba Shopping;Termo Reutilizable;Merchandising;;5;3143.3;15716.5;Take Away;Efectivo;Sí;15;Combo;Sofía;Tarde;10.1;1;46;41
VTA00112;13/2/2025;17:23;San Lorenzo 25, Nueva Córdoba;Termo Reutilizable;Merchandising;;5;2652.91;13264.55;Delivery;App;No;0;Ninguna;Julián;Mañana;4.1;2;47;42
VTA00113;20/1/2025;09:53;Córdoba Shopping;Caramel Frappuccino;Frappuccino;Venti;5;1776.46;8882.3;En tienda;Tarjeta;No;0;2x1;Julián;Tarde;12.0;3;24;19
VTA00114;31/3/2025;08:22;Córdoba Shopping;House Blend;Café en Granos;;4;2760.16;11040.64;Take Away;Tarjeta;Sí;10;Happy Hour;Marcos;Noche;12.4;4;32;28
VTA00115;6/4/2025;11:27;San Lorenzo 25, Nueva Córdoba;Moneda de Chocolate;Snacks;;1;746.05;746.05;Delivery;Tarjeta;No;0;Combo;Luis;Tarde;10.1;5;25;24
VTA00116;16/1/2025;15:01;San Lorenzo 25, Nueva Córdoba;Croissant Relleno con Crema de Avellanas;Bakery;;2;1480.17;2960.34;En tienda;Tarjeta;Sí;15;2x1;Florencia;Noche;4.6;5;14;12
VTA00117;22/3/2025;19:27;San Lorenzo 25, Nueva Córdoba;Mocha;Bebida Espresso Caliente;Venti;2;1692.98;3385.96;En tienda;Tarjeta;Sí;10;2x1;Florencia;Mañana;12.6;4;16;14
VTA00118;3/2/2025;10:02;Calle San Lorenzo 47;Moneda de Chocolate;Snacks;;3;1292.78;3878.34;Take Away;App;No;0;Ninguna;Marcos;Noche;14.2;2;33;30
VTA00119;29/3/2025;15:46;Calle San Lorenzo 47;Té Helado de Hibiscus;Té Helado;;2;1572.15;3144.3;Delivery;Efectivo;Sí;0;Combo;Julián;Tarde;4.3;5;42;40
VTA00120;5/3/2025;15:37;Avenida Colón 608;Fosforito de Jamón y Queso;Sándwiches;;1;1831.52;1831.52;Delivery;Efectivo;No;0;Happy Hour;Sofía;Noche;14.0;1;43;42
VTA00121;2/3/2025;12:04;San Lorenzo 25, Nueva Córdoba;Termo Reutilizable;Merchandising;;4;3450.23;13800.92;Take Away;App;No;0;Ninguna;Julián;Mañana;10.4;5;39;35
VTA00122;19/2/2025;15:06;Avenida Colón 608;Skinny Vainilla Latte Helado;Bebida Espresso Helada;Grande;3;1315.23;3945.69;Take Away;Efectivo;No;0;Combo;Julián;Mañana;13.7;3;32;29
VTA00123;28/2/2025;16:54;Córdoba Shopping;Taza Edición Especial;Merchandising;;3;2831.66;8494.98;En tienda;Tarjeta;Sí;0;Happy Hour;Luis;Noche;3.7;2;36;33
VTA00124;12/1/2025;12:59;Avenida Colón 608;Cold Brew;Bebida Espresso Helada;Venti;5;1831.8;9159.0;En tienda;App;Sí;10;2x1;Marcos;Noche;10.1;1;32;27
VTA00125;3/3/2025;15:09;San Lorenzo 25, Nueva Córdoba;Vainilla Latte;Bebida Espresso Caliente;Tall;4;1755.75;7023.0;Delivery;App;No;0;2x1;Marcos;Mañana;8.7;3;21;17
VTA00126;1/4/2025;20:34;Avenida Colón 608;Caramel Frappuccino;Frappuccino;Pequeño;2;1884.23;3768.46;Take Away;Efectivo;Sí;15;Happy Hour;Florencia;Tarde;8.8;4;47;45
VTA00127;20/1/2025;11:00;Córdoba Shopping;Té Verde en Hebras;Té;;1;2170.57;2170.57;Take Away;App;Sí;0;Happy Hour;Marcos;Noche;6.7;3;17;16
VTA00128;27/1/2025;18:09;Avenida Colón 608;Té Verde;Té Caliente;;5;1042.22;5211.1;Delivery;App;No;0;Happy Hour;Julián;Noche;8.0;2;37;32
VTA00129;21/3/2025;09:22;San Lorenzo 25, Nueva Córdoba;Moneda de Chocolate;Snacks;;4;916.37;3665.48;Delivery;App;No;0;Happy Hour;Luis;Noche;13.9;3;49;45
VTA00130;7/2/2025;12:35;Córdoba Shopping;Bagel Sandwich;Sándwiches;;3;1881.88;5645.64;Take Away;App;Sí;15;2x1;Sofía;Noche;8.4;4;16;13
VTA00131;8/2/2025;08:41;Córdoba Shopping;Flat White;Bebida Espresso Caliente;Venti;5;1325.45;6627.25;Delivery;App;No;0;Ninguna;Camila;Tarde;11.7;5;40;35
VTA00132;14/3/2025;08:43;Córdoba Shopping;Caramel Frappuccino;Frappuccino;Grande;3;1581.49;4744.47;Delivery;Efectivo;No;0;Happy Hour;Florencia;Noche;9.5;1;14;11
VTA00133;24/3/2025;19:37;Calle San Lorenzo 47;Taza Edición Especial;Merchandising;;3;3274.52;9823.56;En tienda;Efectivo;No;0;Ninguna;Camila;Noche;4.7;3;19;16
VTA00134;14/4/2025;15:19;Avenida Colón 608;Espresso Roast;Café en Granos;;1;2635.13;2635.13;Take Away;Efectivo;Sí;0;Ninguna;Sofía;Noche;2.4;2;42;41
